Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W283435073484001,BIKANER,Lunkaransar,HARIASAR,73.81,28.58,2.65,61.95,197,27.76,28.11,27.42,29.89,28.98,30.67,30.71,35.25,1.22,2.56,3.29,5.36
W281830072310401,BIKANER,Kolayat,JAGGASAR,72.52,28.31,0.3,250,127,18.31,18.28,18.06,17.56,16.7,16.58,16.57,16.46,-1.61,-1.7,-1.49,-1.1
W274000073394501,BIKANER,Nokha,KAKRA,73.66,27.67,1.62,178.92,305,81.69,84.16,84.88,84.32,95.32,95.16,95.46,95.66,13.63,11,10.58,11.34
W280230072210001,BIKANER,Kolayat,Kandharli Deep,72.35,28.04,1,184,155,11.5,11.38,11.26,11.63,11.83,12.29,12.4,12.46,0.33,0.91,1.14,0.83
W280230072210002,BIKANER,Kolayat,Kandharli Shallow,72.35,28.04,1,88,155,11.57,11.43,11.33,11.52,12.15,11.52,11.84,11.89,0.58,0.09,0.51,0.37
W273015073260001,BIKANER,Nokha,Kanwalisar,73.43,27.5,1,150,328,66,66.51,65.01,65.46,65.65,55.7,64.67,65.6,-0.35,-10.81,-0.34,0.14
W275731073141401,BIKANER,Bikaner,KARMISAR,73.24,27.96,1.02,139.6,217,68.96,68.23,67.51,68.18,65.28,64.3,64.26,64.08,-3.68,-3.93,-3.25,-4.1
W281945073291501,BIKANER,Lunkaransar,KASTURIA,73.49,28.33,0.94,42.6,186,33.99,34.04,33.51,34.02,36.76,36.21,34.17,34.12,2.77,2.17,0.66,0.1
W281940073293001,BIKANER,Lunkaransar,Kasturia Pz,73.49,28.33,1,120,186,34.34,34.87,34.34,34.31,36.55,35.55,38.94,33.91,2.21,0.68,4.6,-0.4
W284135072352901,BIKANER,Khajuwala,Khajuwala_Pz,72.59,28.69,0,240,139,20.73,19.34,19.29,19.85,19.95,19.93,19.92,19.93,-0.78,0.59,0.63,0.08
W281145073232801,BIKANER,Bikaner,KHARA1,73.39,28.2,1.23,64.27,202,50.87,50.38,50.23,50.52,50.01,49.67,49.75,49.67,-0.86,-0.71,-0.48,-0.85
W285600073243001,BIKANER,Lunkaransar,KHARBARO,73.41,28.93,1.31,47.7,190,7.31,7.52,6.44,7.65,6.99,7.39,7.54,6.89,-0.32,-0.13,1.11,-0.76
W282845073333001,BIKANER,Lunkaransar,Khirera,73.56,28.48,0.6,10.68,224,6.87,5.99,6.86,6.94,0,7.9,7.87,7.45,,1.91,1.01,0.51
W250300074380001,CHITTAURGARH,Gangrar,GANGRARI1,74.63,25.05,0.85,22,405,13.91,10.32,9.09,9.89,12.25,8.49,10.9,11.65,-1.66,-1.83,1.81,1.76
W241648074305401,CHITTAURGARH,Bari Sadari,KALAKHET,74.52,24.28,0.45,25.4,507,19.97,6.73,10.67,13.16,18.95,14.65,7.35,7.65,-1.02,7.92,-3.32,-5.51
W245140074183001,CHITTAURGARH,Kapasan,KAPASANI,74.31,24.86,0.35,20.78,460,5.93,5.41,3.47,3.91,6.55,5.66,4.33,4.05,0.62,0.25,0.86,0.14
W250210074293001,CHITTAURGARH,Gangrar,KHARKHANDA,74.49,25.04,0.46,25,451,16.9,12.41,11.23,13.57,0,0,15.5,15.49,,,4.28,1.92
W245420074384001,CHITTAURGARH,Chittaurgarh,MANPURA2,74.64,24.91,0.33,18,398,11.16,5.48,6.31,8.79,9.87,8.17,5.92,9.17,-1.29,2.7,-0.39,0.38
W250440075100001,CHITTAURGARH,Begun,MENAL,75.17,25.08,0.55,6.85,522,2.72,1.47,1.68,2.08,1.95,0.55,0.88,1.1,-0.77,-0.92,-0.8,-0.98
W245230074160001,CHITTAURGARH,Kapasan,MUNGANA,74.27,24.88,1.08,24,463,13.19,9.56,8.16,10.2,15.12,9.93,13.34,12.12,1.93,0.37,5.18,1.92
W245700074410601,CHITTAURGARH,Chittaurgarh,NAGARII,74.69,24.95,0.05,17.75,415,14.52,7,6.41,9.61,16.15,3.35,3.79,5.3,1.64,-3.65,-2.62,-4.31
W250811074531501,CHITTAURGARH,Begun,PARSOLI,74.89,25.14,1.65,25,398,11.7,2.81,4.06,5.21,22.65,20.45,2.47,4,10.96,17.64,-1.59,-1.21
W250400074214501,CHITTAURGARH,Rashmi,RASHMII,74.36,25.07,1.55,12.5,448,7.83,5.72,5.59,5.99,7.95,6.75,7.2,7.05,0.12,1.03,1.61,1.07
W245600075353001,CHITTAURGARH,Bhainsrogarh,RAWATBHATA,75.59,24.93,1.35,9.95,358,0.99,0.64,0.36,0.62,2.85,0.95,0.65,0.78,1.86,0.31,0.29,0.16
W245600074272001,CHITTAURGARH,Kapasan,SINGHPUR,74.46,24.93,0.5,17.17,432,13.44,7.38,6.57,11.15,0,0,13.12,15,,,6.55,3.85
W283437074301601,CHURU,Sardar Sahar,Aspalsar,74.5,28.58,2.5,50,241,44.25,42.08,43.78,43.88,44.45,43.46,43.5,43.48,0.21,1.38,-0.28,-0.4
W274400074070001,CHURU,Sujjangarh,BAMBOO,74.12,27.73,1,80,319,64.44,64.01,63.63,64.12,66.15,66.1,75.6,65.33,1.71,2.09,11.97,1.21
W284537075013801,CHURU,Taranagar,BHALAUTIBBA,75.03,28.76,1.99,18.01,215,12.37,12.23,12.04,12.73,15.26,11.92,11.97,11.81,2.89,-0.31,-0.07,-0.92
W275820074323001,CHURU,Ratangarh,BHOJASAR,74.54,27.97,1.48,35,317,29.91,29.7,29.2,29.5,29.72,29.82,29.59,29.34,-0.19,0.12,0.39,-0.16
W275019074170001,CHURU,Sujjangarh,BIDASAR,74.28,27.84,2.44,62.56,309,6.72,6.16,6.27,10.06,8.04,16.56,7.81,9.31,1.32,10.4,1.54,-0.75
W281545074523001,CHURU,Churu,BINASAR,74.88,28.26,2.31,45,296,32.93,32.76,32.13,34.06,37.29,34.39,33.69,33.89,4.36,1.63,1.56,-0.17
W285030074543001,CHURU,Taranagar,DHIRAWAS,74.91,28.84,1.8,15.2,210,9.1,7.92,9.09,9.17,9,7.45,8.78,8.92,-0.1,-0.47,-0.31,-0.25
W282815075044501,CHURU,Churu,DUDWA KHARA,75.08,28.47,1.81,92.5,276,18.76,19.15,18.94,18.95,19.89,19.32,19.59,19.69,1.14,0.17,0.65,0.75
W274415074250701,CHURU,Sujjangarh,GULERIYA,74.42,27.74,2,18,316,9.62,9.33,8.93,9.34,10.33,9.9,9.92,9.9,0.71,0.57,0.99,0.56
W283200075262001,CHURU,Rajgarh,HARPALU KHUSALA,75.44,28.53,1,114.5,254,38.97,39.12,39.45,38.97,42.15,38.6,38.65,38.24,3.18,-0.52,-0.8,-0.73
W275500074410001,CHURU,Ratangarh,KANWARI,74.68,27.92,1,52.5,320,27.93,27.88,27.61,28.36,28.25,28.24,28.2,27.96,0.32,0.36,0.59,-0.4
W280030074365501,CHURU,Ratangarh,LOHA,74.62,28.01,1.59,50,326,29.03,29.21,28.4,29.07,27.68,29.91,28.91,29.48,-1.35,0.7,0.51,0.41
W283015074441501,CHURU,Sardar Sahar,MELUSAR,74.74,28.5,2.92,48,256,27.45,26.86,24.76,23.93,26.33,23.01,21.55,23.16,-1.12,-3.85,-3.21,-0.77
W281215074315001,CHURU,Ratangarh,MELUSARI,74.53,28.2,1,70,297,41.27,41.22,41.83,43.46,49.5,42.75,42.8,42.92,8.23,1.53,0.97,-0.54
W282800075282001,CHURU,Rajgarh,NEEMA,75.47,28.47,1.74,115,270,52.01,48.9,49.3,50.88,53.56,51.9,52.16,52.25,1.55,3,2.86,1.37
W275528074334001,CHURU,Ratangarh,Perihara,74.56,27.92,0,27.2,323.782,21.64,21.14,21.92,20.96,22.7,20.9,20.8,20.08,1.06,-0.24,-1.12,-0.88
W280215074283501,CHURU,Ratangarh,RAJALDESAR,74.48,28.04,1,68.9,321,47,48.51,48.64,48.83,48.64,48.65,48.61,48.62,1.64,0.14,-0.03,-0.21
W283800075223001,CHURU,Rajgarh,RAJGARHI,75.38,28.63,1.99,28,480,22.97,22.38,22.41,23.23,23.91,22.69,22.31,22.15,0.94,0.31,-0.1,-1.08
W285230074503001,CHURU,Taranagar,SHAWA,74.84,28.88,1.3,29.8,212,15.1,13.99,14.09,14.75,16.4,12.8,13.1,12.87,1.3,-1.19,-0.99,-1.88
W282600075075001,CHURU,Churu,SIRSALA,75.13,28.43,1.08,31.69,277,28.16,28.64,28.27,30.03,22.07,30.72,29.87,29.87,-6.09,2.08,1.6,-0.16
W280358074451401,CHURU,Ratangarh,TIDIY ASAR,74.75,28.07,1.6,50,315,41.47,41.75,41.51,43.32,47.3,0,47.35,44.09,5.83,,5.84,0.77
W280400074440002,CHURU,Ratangarh,TIDIY ASAR Pz,74.73,28.07,0.85,111.5,315,40.28,40.41,40.03,40.48,39.75,39.74,39.73,39.73,-0.53,-0.67,-0.3,-0.75
W264826076331701,DAUSA,Sikrai,Bairaonda,76.55,26.81,0,87,333,20.19,19.04,21.02,21.66,25.14,20.1,20.3,21.13,4.95,1.06,-0.72,-0.53
W264854076171701,DAUSA,Dausa,Baniyana,76.29,26.82,0,74,331,12.65,10.49,10.92,12.04,13.8,14.7,12.45,12.6,1.15,4.21,1.53,0.56
W265850076170001,DAUSA,Dausa,BAPI Pz,76.28,26.98,1,91.5,324,12.62,8.94,10.52,11.38,13.03,10.85,13.22,14.76,0.41,1.91,2.7,3.38
W270934076350001,DAUSA,Bandikui,Baswal,76.58,27.16,1,125.4,297,42.35,41.27,42.81,44.23,77.74,70.9,70.96,78.1,35.39,29.63,28.15,33.87
W265830076572001,DAUSA,Mahua,Ghazipur - Pz,76.96,26.98,1,81.4,233,17.56,15.05,14.68,15.17,22.17,15.56,16.35,17.5,4.61,0.52,1.67,2.33
W265400077020002,DAUSA,Mahua,Higetawari Dhani,77.03,26.9,0.2,22,224,14.81,12.57,12.15,11.16,8.32,8.4,8.6,8.87,-6.49,-4.17,-3.55,-2.29
W265800076200001,DAUSA,Dausa,Jasuta,76.33,26.97,1.05,18,311,13.53,9.47,10.64,11.94,13.65,11.02,11.41,14.87,0.12,1.55,0.77,2.93
W265900076224801,DAUSA,Dausa,Kalipahari,76.38,26.98,1,60,313,27.83,27.29,27.7,28.31,35.43,34.04,30.55,31.86,7.6,6.75,2.85,3.55
W265739076172401,DAUSA,Dausa,Khuri,76.29,26.96,0,78,324,27.17,25.35,26.33,28.33,35.73,35.36,28.7,27.55,8.56,10.01,2.37,-0.78
W265700076440001,DAUSA,Sikrai,LANGRA BALAJI,76.73,26.95,1,75,262,40.87,39.22,39.67,41,51.7,49.3,51.1,53.76,10.83,10.08,11.44,12.76
W264700076130001,DAUSA,Dausa,LAWANI,76.22,26.78,1,44,317,38.67,38.27,39.84,39.35,17.8,44.2,0,42.1,-20.87,5.93,5.96,2.75
W264331076270701,DAUSA,Dausa,SAR Pz,76.45,26.73,0.5,200,326,24.85,38.27,21.2,23.82,28.06,28.06,25.7,26.43,3.21,5.98,4.5,2.61
W270550076471201,DAUSA,Bandikui,Sodan Ka Bas,76.79,27.1,1,67,253,37.88,36.29,37.03,37.72,43.83,40.3,40.68,41.14,5.95,4.01,3.65,3.42
W265500077010001,DAUSA,Mahua,Talchidi,77.02,26.92,1,56,229,24.54,19.59,20.4,19.37,17.85,17.25,18.1,19.37,-6.69,-2.34,-2.3,0
W263854077480701,DHAULPUR,Dhaulpur,AATHMEEL,77.8,26.65,0.38,20.72,231,10.27,5.11,5.59,7.2,16.52,6.06,9.76,9.52,6.25,0.95,4.17,2.32
W263618077282301,DHAULPUR,Baseri,ANGAI,77.47,26.61,1.03,21.24,232,10.35,6.18,5.49,7,13.81,5.57,6.07,6.27,3.46,-0.61,0.59,-0.73
W263758077412601,DHAULPUR,Bari,Chhavri Ka Pura,77.69,26.63,1,60,224,10.4,7.14,8.8,10.22,15.14,9.15,9.4,9.34,4.74,2.02,0.6,-0.88
W264200077533001,DHAULPUR,Dhaulpur,Dhaulpur,77.89,26.7,0.4,21.02,238,14.65,14.15,13.98,13.72,15.13,14.5,14.15,14.14,0.48,0.35,0.17,0.43
W264126077532801,DHAULPUR,Dhaulpur,Dhaulpurl,77.89,26.69,0,31.22,238,11.63,12.24,12.23,12.4,13.14,12.5,12.16,12.9,1.51,0.26,-0.07,0.5
W263443077412601,DHAULPUR,Bari,GAJPURA,77.69,26.58,1,14,281,7.32,4.6,5.64,5.78,8.5,2.53,3.03,3.05,1.18,-2.07,-2.61,-2.73
W265130077430001,DHAULPUR,Dhaulpur,KANTHRI,77.72,26.86,0.6,8,181,5.43,5.37,5.63,5.24,5.6,4.9,4.8,4.7,0.17,-0.47,-0.83,-0.54
W285200073210002,BIKANER,Lunkaransar,LAKHANSAR DW,73.35,28.87,1.1,50,168,12.73,12.61,12.03,12.47,10.6,16.1,10.58,11.7,-2.13,3.49,-1.45,-0.77
W280545073521501,BIKANER,Dungargarh,LAKHASAR2,73.87,28.1,1.65,47.95,245,38.12,36.1,36.53,36.56,37.72,37.55,35.63,36.2,-0.4,1.45,-0.9,-0.36
W281900073113001,BIKANER,Bikaner,LAKHUSAR,73.19,28.32,0.9,51,186,43.29,44.21,43.58,43.41,45.25,42.24,42.34,42.31,1.96,-1.97,-1.24,-1.1
W283200073334502,BIKANER,Lunkaransar,LALERAI,73.56,28.53,1,150,211,32.63,31.95,32.22,32.09,31,30.95,30.77,30.97,-1.63,-1,-1.45,-1.12
W283800073360002,BIKANER,Lunkaransar,"Laxmi Narayansar
 Dhani",73.6,28.63,1,150,202,6.49,6.63,6.34,6.71,7.5,7.7,7.69,7.46,1.02,1.07,1.35,0.75
W282930073450001,BIKANER,Lunkaransar,LUNKARANSAR1,73.75,28.49,0.97,129,197,44.29,47.29,48.1,45.26,53.19,52.93,51.58,53.49,8.9,5.64,3.48,8.23
W284700073500001,BIKANER,Lunkaransar,MAHAJAN,73.83,28.78,1.55,51.5,199,34.44,33.95,34.16,34.88,37.76,0,0,0,3.32,,,
W284600073490001,BIKANER,Lunkaransar,Mahajan - Pz,73.82,28.77,1,67.3,306,36.85,37.51,36.89,37.57,0,38.4,38.4,38.43,,0.89,1.51,0.86
W284001073550801,BIKANER,Lunkaransar,MALKISAR,73.92,28.67,1.38,59.62,198,15.05,13.88,14.04,15.77,14.67,15.92,15.82,16.07,-0.38,2.04,1.78,0.3
W284530073462001,BIKANER,Lunkaransar,MANARIA,73.77,28.76,0.69,54.41,196,48.98,48.84,48.69,49.08,48.76,47.26,47.16,47.47,-0.22,-1.58,-1.53,-1.61
W280206072293001,BIKANER,Kolayat,MANKASAR,72.49,28.04,1.5,19.46,166,11.86,11.57,11.41,11.46,12.7,12.62,13,13.07,0.84,1.05,1.59,1.61
W285305073171501,BIKANER,Lunkaransar,RANER,73.29,28.88,0.4,47.6,161,14.09 .,14.91,14.31,14.53,13.1,13.3,13.51,13.86,-0.99,-1.61,-0.8,-0.67
W280135072073001,BIKANER,Kolayat,RANJITPURA,72.13,28.03,0,42.8,146,25.22,25.23,24.99,26.22,24.55,24.46,24.48,24.42,-0.67,-0.77,-0.51,-1.8
W284200073530001,BIKANER,Lunkaransar,Sangrew,73.88,28.7,1,153,197,27.43,25.94,25.88,24.67,24.25,23.86,23.53,24.38,-3.18,-2.08,-2.35,-0.29
W283530073113001,BIKANER,Bikaner,SATTASAR,73.19,28.59,0.89,57.91,179,30.1,29.76,29.72,29.71,29.41,29.87,29.74,29.97,-0.69,0.11,0.02,0.26
W251600075450001,BUNDI,Talera,BALLOP,75.75,25.27,1,6,248,4.56,1.21,1.82,1.61,4.8,1.53,1.8,1.87,0.24,0.32,-0.02,0.26
W253100076100001,BUNDI,Keshorai Patan,Dahi Khera,76.17,25.52,0.57,7.38,230,5.04,1.52,6.08,4.14,6.53,0.71,6.5,6.64,1.49,-0.81,0.42,2.5
W252815075520001,BUNDI,Bundi,DELUNDA,75.87,25.47,0.61,17.68,229,12.68,9.55,10.07,10.44,13.29,8.59,10.47,10.36,0.61,-0.96,0.4,-0.08
W253230075594501,BUNDI,Keshorai Patan,GAINDOLI,76,25.54,1,10.72,231,6.29,1.74,3.36,4.76,9.2,0.5,6.75,6.86,2.91,-1.24,3.39,2.1
W252328076042501,BUNDI,Keshorai Patan,KAPREN,76.07,25.39,0.59,6.71,236,2.69,2.05,1.83,2.28,3.51,1.55,1.27,1.15,0.82,-0.5,-0.56,-1.13
W251908075555001,BUNDI,Keshorai Patan,KESHORAIPATAN,75.93,25.32,0.54,3.96,245,2.46,1.01,1.52,1.29,2.56,1.36,0.46,0.4,0.1,0.35,-1.06,-0.89
W254000076110001,BUNDI,Keshorai Patan,LAKHERI,76.18,25.67,1.5,3.95,228,2.03,0.56,0.97,1.02,4.6,0.1,2.15,2.29,2.57,-0.46,1.18,1.27
W252430075531501,BUNDI,Keshorai Patan,MAIJA,75.89,25.41,1.1,10.7,232,2.37,2.35,0.82,0.63,2.8,0.63,0.92,0.84,0.44,-1.72,0.1,0.21
W253412075565001,BUNDI,Nainwa,MOTIPURA,75.95,25.57,0.51,14,303,11.41,7.12,8.65,8.46,0,1.04,0,0,,-6.08,,
W252940075472401,BUNDI,Bundi,RAJWAS,75.79,25.49,0.51,7.5,239,5.43,1.65,2.45,2.82,0,0.89,3.45,3.73,,-0.76,1.01,0.91
W252400075333001,BUNDI,Bundi,RAMNAGAR ( JATAN ),75.56,25.4,0.81,15.23,259,8.04,1.76,2.72,5.69,6.89,1.5,3.17,2.86,-1.15,-0.26,0.45,-2.83
W252614075305501,BUNDI,Hindoli,SATUR,75.52,25.44,0,15,305,9.98,5.8,5.86,5.3,5.4,6.3,4.88,5.63,-4.58,0.5,-0.98,0.33
W244500074115701,CHITTAURGARH,Bhopalsagar,AKOLA,74.2,24.75,0.2,16,454,11.41,7.66,7.7,8.5,9,8,7.84,7.5,-2.41,0.34,0.14,-1
W244336074270001,CHITTAURGARH,Bhadesar,BANSEN,74.45,24.73,0.25,28,428,18.04,9.24,9.88,12.01,25.85,24.25,8.51,9.2,7.81,15.02,-1.37,-2.81
W245100074352001,CHITTAURGARH,Chittaurgarh,Bojunda,74.59,24.85,0.6,155,415,20.62,16.11,15.51,14.47,23.9,16.78,13.6,14.05,3.28,0.67,-1.91,-0.42
W264505077484001,DHAULPUR,Dhaulpur,Karimpur,77.81,26.75,0,55,177,28.22,25.73,27.97,28.72,31.59,28.67,28.7,29.4,3.37,2.94,0.73,0.68
W264900077411002,DHAULPUR,Baseri,Lebudapura,77.69,26.82,1,15,185,3.78,3.15,2.99,3.78,4.64,3.86,3.2,3.7,0.86,0.71,0.21,-0.08
W264900077573001,DHAULPUR,Rajakhera,Mangraul,77.96,26.82,0,38,166,24.75,23.37,25.89,25.71,36.02,35.2,35.25,35.27,11.27,11.83,9.36,9.56
W263120077231501,DHAULPUR,Baseri,NAKATPURA,77.39,26.52,0.45,11.45,262,7.95,3.58,4.35,5.12,8.65,0,0,0,0.7,11.83,9.36,9.56
W264918077444701,DHAULPUR,Dhaulpur,Saipau,77.75,26.82,0.5,20,179,13.13,12.55,12.75,12.16,7.74,12.38,12.03,11.94,-5.39,-0.17,-0.72,-0.22
W265606078081501,DHAULPUR,Rajakhera,SIKRONDA,78.14,26.94,1,122.72,162,31.85,28.25,30.62,31.86,35.85,31.1,31.25,31.2,4,2.85,0.63,-0.66
W234514073505201,DUNGARPUR,Dungarpur,Anteree,73.85,23.75,0.43,| 5.71,314,4.1,1.6,2.77,2.04,4.67,2.57,2.37,2.67,0.57,0.97,-0.4,0.63
W235700074050001,DUNGARPUR,Aspur,Aspur,74.08,23.95,1,150,202,12.23,7.69,8.77,8.95,3.9,0,0,1.9,-8.33,-0.17,-0.65,-7.05
W235730074044501,DUNGARPUR,Aspur,ASPURI,74.08,23.96,0,13,206,5.63,2.68,4.86,4.23,4.6,1.9,2.6,2.9,-1.03,-0.78,-2.26,-1.33
W235421074041501,DUNGARPUR,Aspur,BARODA,74.07,23.91,0.74,10.06,193,3.3,1.13,1.36,1.81,3.26,1.86,2.26,2.66,-0.04,0.73,0.9,0.85
W233712074050001,DUNGARPUR,Sagwara,BHILURA,74.08,23.62,1.52,11.48,132,6.64,2.24,2.93,3.32,6.78,4.58,3.58,3.98,0.15,2.34,0.65,0.66
W233400073580002,DUNGARPUR,Simalwara,Chitri,73.97,23.57,1,86.7,354,10.15,2.95,3.33,5.58,9.1,5.9,3.8,4.2,-1.05,2.96,0.47,-1.38
W235000073431501,DUNGARPUR,Dungarpur,Dungarpurl,73.72,23.83,1.05,16.01,371,8.7,4.12,4.36,4.42,7.05,5.85,3.15,3.45,-1.65,1.74,-1.21,-0.97
W234132073432801,DUNGARPUR,Bichhiwara,GORADA,73.72,23.69,0.33,9,307,8.02,1.96,3.47,5.31,7.77,5.87,2.07,2.87,-0.25,3.91,-1.4,-2.44
W235319073540301,DUNGARPUR,Dungarpur,HATHAI,73.9,23.89,0.77,9.2,255,6.71,1.12,2.24,2.68,6.33,4.83,3.33,3.83,-0.38,3.71,1.09,1.15
W235100074041201,DUNGARPUR,Aspur,KABJA,74.07,23.85,1,92.1,169,4.1,1.1,1.89,2.49,3.96,1.5,1.1,1.5,-0.14,0.4,-0.79,-0.99
W234900073340001,DUNGARPUR,Bichhiwara,KANABA,73.57,23.82,0.5,11.2,321,8.37,1.59,2.57,3.91,6.3,8.5,6.5,7,-2.07,6.91,3.93,3.09
W235100073464501,DUNGARPUR,Dungarpur,MANPUR2,73.78,23.85,0.74,8.59,290,7.21,1.12,2.2,3.59,0,4.86,2.36,2.66,-6.8,3.74,0.16,-0.93
W234100073573001,DUNGARPUR,Sagwara,NANDOR,73.96,23.68,0.5,11.5,181,8.67,2.05,2.16,3.72,3.1,0,0,3.8,-5.57,-3.4,0.18,0.09
W235030073342701,DUNGARPUR,Bichhiwara,NAVAL SHYAM,73.57,23.84,0.66,120.4,339,12.44,1.89,2.72,5.45,0,9.54,7.24,7.84,,7.65,4.52,2.39
W235000073410001,DUNGARPUR,Bichhiwara,NAYADERA,73.68,23.83,0.67,15,286,9.35,3.11,3.24,5.97,8.83,8.33,6.53,7.03,-0.52,5.22,3.29,1.06
W234257074023001,DUNGARPUR,Sagwara,NAYAGAONI,74.04,23.72,0.45,9.9,197,6.48,2.92,3.36,4.01,6.65,4.55,3.35,3.85,0.17,1.63,-0.01,-0.16
W233145073454501,DUNGARPUR,Simalwara,PEETH,73.76,23.53,0.17,12.23,221,12.06,2.1,2.75,5.53,9.13,7.53,3.93,4.53,-2.93,5.43,1.19,-1
W235530073580001,DUNGARPUR,Aspur,Ramgarh2,73.97,23.93,1,20,243,9.14,3.38,4.84,7.59,7.1,6.1,4.9,5.3,-2.04,2.72,0.06,-2.29
W234545073270001,DUNGARPUR,Bichhiwara,RATANPUR,73.45,23.76,0.45,12.75,310,11.32,4.18,4.85,6.8,0,10.55,8.55,0,-3.04,6.37,3.7,-3.4
